State,Measure Name,Measure ID,Score,Footnote,Measure Start Date,Measure End Date
IL,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.519,,7/1/2014,6/30/2015
IN,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.63,,7/1/2014,6/30/2015
KS,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.589,,7/1/2014,6/30/2015
KY,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.635,,7/1/2014,6/30/2015
LA,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.759,,7/1/2014,6/30/2015
MA,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.485,,7/1/2014,6/30/2015
MD,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.578,,7/1/2014,6/30/2015
ME,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.979,,7/1/2014,6/30/2015
MI,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.471,,7/1/2014,6/30/2015
MN,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.499,,7/1/2014,6/30/2015
MO,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.466,,7/1/2014,6/30/2015
MP,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,Not Available,13 - Results cannot be calculated for this reporting period.,7/1/2014,6/30/2015
MS,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.743,,7/1/2014,6/30/2015
MT,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,1.021,,7/1/2014,6/30/2015
NC,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.483,,7/1/2014,6/30/2015
ND,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.591,,7/1/2014,6/30/2015
NE,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.737,,7/1/2014,6/30/2015
NH,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.959,,7/1/2014,6/30/2015
NJ,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.617,,7/1/2014,6/30/2015
NM,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.833,,7/1/2014,6/30/2015
NV,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.555,,7/1/2014,6/30/2015
NY,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.462,,7/1/2014,6/30/2015
OH,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.458,,7/1/2014,6/30/2015
OK,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.533,,7/1/2014,6/30/2015
OR,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.466,,7/1/2014,6/30/2015
PA,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.53,,7/1/2014,6/30/2015
PR,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.545,,7/1/2014,6/30/2015
RI,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.744,,7/1/2014,6/30/2015
SC,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.709,,7/1/2014,6/30/2015
SD,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.585,,7/1/2014,6/30/2015
TN,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.501,,7/1/2014,6/30/2015
TX,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.51,,7/1/2014,6/30/2015
UT,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.425,,7/1/2014,6/30/2015
VA,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.468,,7/1/2014,6/30/2015
VI,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,5.904,,7/1/2014,6/30/2015
VT,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.556,,7/1/2014,6/30/2015
WA,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.478,,7/1/2014,6/30/2015
WI,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.453,,7/1/2014,6/30/2015
WV,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.517,,7/1/2014,6/30/2015
WY,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,1.202,,7/1/2014,6/30/2015
AK,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.125,,7/1/2014,6/30/2015
AL,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.63,,7/1/2014,6/30/2015
AR,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.495,,7/1/2014,6/30/2015
AS,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,Not Available,13 - Results cannot be calculated for this reporting period.,7/1/2014,6/30/2015
AZ,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.421,,7/1/2014,6/30/2015
CA,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.459,,7/1/2014,6/30/2015
CO,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.355,,7/1/2014,6/30/2015
CT,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.441,,7/1/2014,6/30/2015
DC,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.415,,7/1/2014,6/30/2015
DE,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.14,,7/1/2014,6/30/2015
FL,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.496,,7/1/2014,6/30/2015
GA,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.532,,7/1/2014,6/30/2015
GU,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,-,,7/1/2014,6/30/2015
HI,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.089,,7/1/2014,6/30/2015
IA,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.439,,7/1/2014,6/30/2015
ID,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.222,,7/1/2014,6/30/2015
IL,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.418,,7/1/2014,6/30/2015
IN,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.494,,7/1/2014,6/30/2015
KS,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.38,,7/1/2014,6/30/2015
KY,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.479,,7/1/2014,6/30/2015
LA,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.593,,7/1/2014,6/30/2015
MA,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.365,,7/1/2014,6/30/2015
MD,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.429,,7/1/2014,6/30/2015
ME,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.488,,7/1/2014,6/30/2015
MI,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.378,,7/1/2014,6/30/2015
MN,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.335,,7/1/2014,6/30/2015
MO,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.352,,7/1/2014,6/30/2015
MP,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,Not Available,13 - Results cannot be calculated for this reporting period.,7/1/2014,6/30/2015
MS,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.53,,7/1/2014,6/30/2015
MT,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.423,,7/1/2014,6/30/2015
NC,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.383,,7/1/2014,6/30/2015
ND,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.26,,7/1/2014,6/30/2015
NE,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.442,,7/1/2014,6/30/2015
NH,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.484,,7/1/2014,6/30/2015
NJ,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.491,,7/1/2014,6/30/2015
NM,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.515,,7/1/2014,6/30/2015
NV,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.396,,7/1/2014,6/30/2015
NY,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.391,,7/1/2014,6/30/2015
OH,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.37,,7/1/2014,6/30/2015
OK,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.386,,7/1/2014,6/30/2015
OR,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.276,,7/1/2014,6/30/2015
PA,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.447,,7/1/2014,6/30/2015
PR,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.221,,7/1/2014,6/30/2015
RI,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.363,,7/1/2014,6/30/2015
SC,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.535,,7/1/2014,6/30/2015
SD,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.195,,7/1/2014,6/30/2015
TN,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.395,,7/1/2014,6/30/2015
TX,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.446,,7/1/2014,6/30/2015
UT,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.235,,7/1/2014,6/30/2015
VA,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.353,,7/1/2014,6/30/2015
VI,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.976,,7/1/2014,6/30/2015
VT,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.092,,7/1/2014,6/30/2015
WA,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.337,,7/1/2014,6/30/2015
WI,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.308,,7/1/2014,6/30/2015
WV,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.326,,7/1/2014,6/30/2015
WY,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,0.158,,7/1/2014,6/30/2015
AK,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.913,,1/1/2015,6/30/2015
AL,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.494,,1/1/2015,6/30/2015
AR,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.626,,1/1/2015,6/30/2015
AS,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,Not Available,13 - Results cannot be calculated for this reporting period.,1/1/2015,6/30/2015
AZ,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.516,,1/1/2015,6/30/2015
CA,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.644,,1/1/2015,6/30/2015
CO,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.48,,1/1/2015,6/30/2015
CT,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.563,,1/1/2015,6/30/2015
DC,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.706,,1/1/2015,6/30/2015
DE,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.545,,1/1/2015,6/30/2015
FL,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.524,,1/1/2015,6/30/2015
GA,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.633,,1/1/2015,6/30/2015
GU,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,Not Available,5 - Results are not available for this reporting period.,1/1/2015,6/30/2015
HI,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.483,,1/1/2015,6/30/2015
IA,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.58,,1/1/2015,6/30/2015
ID,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.401,,1/1/2015,6/30/2015
IL,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.49,,1/1/2015,6/30/2015
IN,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.571,,1/1/2015,6/30/2015
KS,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.484,,1/1/2015,6/30/2015
KY,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.503,,1/1/2015,6/30/2015
LA,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.617,,1/1/2015,6/30/2015
MA,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.666,,1/1/2015,6/30/2015
MD,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.598,,1/1/2015,6/30/2015
ME,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.741,,1/1/2015,6/30/2015
MI,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.632,,1/1/2015,6/30/2015
MN,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.497,,1/1/2015,6/30/2015
MO,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.5,,1/1/2015,6/30/2015
MP,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,Not Available,13 - Results cannot be calculated for this reporting period.,1/1/2015,6/30/2015
MS,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.498,,1/1/2015,6/30/2015
MT,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.545,,1/1/2015,6/30/2015
NC,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.51,,1/1/2015,6/30/2015
ND,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.429,,1/1/2015,6/30/2015
NE,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.626,,1/1/2015,6/30/2015
NH,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.498,,1/1/2015,6/30/2015
NJ,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.658,,1/1/2015,6/30/2015
NM,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.592,,1/1/2015,6/30/2015
NV,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.377,,1/1/2015,6/30/2015
NY,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.677,,1/1/2015,6/30/2015
OH,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.476,,1/1/2015,6/30/2015
OK,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.519,,1/1/2015,6/30/2015
OR,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.561,,1/1/2015,6/30/2015
PA,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.625,,1/1/2015,6/30/2015
PR,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.306,,1/1/2015,6/30/2015
RI,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.771,,1/1/2015,6/30/2015
SC,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.606,,1/1/2015,6/30/2015
SD,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.545,,1/1/2015,6/30/2015
TN,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.49,,1/1/2015,6/30/2015
TX,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.514,,1/1/2015,6/30/2015
UT,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.902,,1/1/2015,6/30/2015
VA,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.576,,1/1/2015,6/30/2015
VI,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,1.033,,1/1/2015,6/30/2015
VT,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.527,,1/1/2015,6/30/2015
WA,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.515,,1/1/2015,6/30/2015
WI,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.477,,1/1/2015,6/30/2015
WV,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.39,,1/1/2015,6/30/2015
WY,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,0.219,,1/1/2015,6/30/2015
AK,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,1.414,,1/1/2015,6/30/2015
AL,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.561,,1/1/2015,6/30/2015
AR,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.734,,1/1/2015,6/30/2015
AS,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,Not Available,13 - Results cannot be calculated for this reporting period.,1/1/2015,6/30/2015
AZ,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.597,,1/1/2015,6/30/2015
CA,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.68,,1/1/2015,6/30/2015
CO,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.575,,1/1/2015,6/30/2015
CT,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.669,,1/1/2015,6/30/2015
DC,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.908,,1/1/2015,6/30/2015
DE,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.798,,1/1/2015,6/30/2015
FL,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.562,,1/1/2015,6/30/2015
GA,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.697,,1/1/2015,6/30/2015
GU,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,2.447,,1/1/2015,6/30/2015
HI,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.67,,1/1/2015,6/30/2015
IA,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.708,,1/1/2015,6/30/2015
ID,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.563,,1/1/2015,6/30/2015
IL,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.542,,1/1/2015,6/30/2015
IN,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.648,,1/1/2015,6/30/2015
KS,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.599,,1/1/2015,6/30/2015
KY,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.583,,1/1/2015,6/30/2015
LA,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.697,,1/1/2015,6/30/2015
MA,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.74,,1/1/2015,6/30/2015
MD,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.688,,1/1/2015,6/30/2015
ME,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.986,,1/1/2015,6/30/2015
MI,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.696,,1/1/2015,6/30/2015
MN,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.591,,1/1/2015,6/30/2015
MO,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.569,,1/1/2015,6/30/2015
MP,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,Not Available,13 - Results cannot be calculated for this reporting period.,1/1/2015,6/30/2015
MS,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.593,,1/1/2015,6/30/2015
MT,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.811,,1/1/2015,6/30/2015
NC,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.568,,1/1/2015,6/30/2015
ND,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.638,,1/1/2015,6/30/2015
NE,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.794,,1/1/2015,6/30/2015
NH,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.682,,1/1/2015,6/30/2015
NJ,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.731,,1/1/2015,6/30/2015
NM,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.749,,1/1/2015,6/30/2015
NV,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.47,,1/1/2015,6/30/2015
NY,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.721,,1/1/2015,6/30/2015
OH,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.524,,1/1/2015,6/30/2015
OK,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.604,,1/1/2015,6/30/2015
OR,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.686,,1/1/2015,6/30/2015
PA,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.675,,1/1/2015,6/30/2015
PR,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.427,,1/1/2015,6/30/2015
RI,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,1.026,,1/1/2015,6/30/2015
SC,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.7,,1/1/2015,6/30/2015
SD,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.811,,1/1/2015,6/30/2015
TN,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.549,,1/1/2015,6/30/2015
TX,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.55,,1/1/2015,6/30/2015
UT,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,1.098,,1/1/2015,6/30/2015
VA,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.65,,1/1/2015,6/30/2015
VI,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,2.493,,1/1/2015,6/30/2015
VT,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.85,,1/1/2015,6/30/2015
WA,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.6,,1/1/2015,6/30/2015
WI,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.558,,1/1/2015,6/30/2015
WV,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.487,,1/1/2015,6/30/2015
WY,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,0.529,,1/1/2015,6/30/2015
AK,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.558,,1/1/2015,6/30/2015
AL,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.433,,1/1/2015,6/30/2015
AR,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.531,,1/1/2015,6/30/2015
AS,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,Not Available,13 - Results cannot be calculated for this reporting period.,1/1/2015,6/30/2015
AZ,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.444,,1/1/2015,6/30/2015
CA,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.609,,1/1/2015,6/30/2015
CO,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.398,,1/1/2015,6/30/2015
CT,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.47,,1/1/2015,6/30/2015
DC,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.54,,1/1/2015,6/30/2015
DE,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.357,,1/1/2015,6/30/2015
FL,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.489,,1/1/2015,6/30/2015
GA,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.574,,1/1/2015,6/30/2015
GU,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,-,,1/1/2015,6/30/2015
HI,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.338,,1/1/2015,6/30/2015
IA,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.47,,1/1/2015,6/30/2015
ID,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.278,,1/1/2015,6/30/2015
IL,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.441,,1/1/2015,6/30/2015
IN,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.5,,1/1/2015,6/30/2015
KS,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.386,,1/1/2015,6/30/2015
KY,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.432,,1/1/2015,6/30/2015
LA,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.545,,1/1/2015,6/30/2015
MA,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.597,,1/1/2015,6/30/2015
MD,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.517,,1/1/2015,6/30/2015
ME,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.545,,1/1/2015,6/30/2015
MI,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.573,,1/1/2015,6/30/2015
MN,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.414,,1/1/2015,6/30/2015
MO,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.437,,1/1/2015,6/30/2015
MP,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,Not Available,13 - Results cannot be calculated for this reporting period.,1/1/2015,6/30/2015
MS,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.416,,1/1/2015,6/30/2015
MT,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.35,,1/1/2015,6/30/2015
NC,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.456,,1/1/2015,6/30/2015
ND,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.275,,1/1/2015,6/30/2015
NE,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.486,,1/1/2015,6/30/2015
NH,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.354,,1/1/2015,6/30/2015
NJ,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.591,,1/1/2015,6/30/2015
NM,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.462,,1/1/2015,6/30/2015
NV,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.299,,1/1/2015,6/30/2015
NY,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.635,,1/1/2015,6/30/2015
OH,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.432,,1/1/2015,6/30/2015
OK,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.442,,1/1/2015,6/30/2015
OR,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,0.454,,1/1/2015,6/30/2015
